variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
abs250,UV Absorbance at 250nm,NA,unitless,32458,27,2014-10-22T00:00:00Z,2019-12-20T00:00:00Z
abs254,UV Absorbance at 254nm,NA,unitless,55396,36,2001-07-20T00:00:00Z,2020-10-29T00:00:00Z
abs280,UV Absorbance at 280nm,NA,unitless,40693,27,2014-10-22T00:00:00Z,2020-10-29T00:00:00Z
Ag,Silver,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ag,Silver,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ag,Silver,stream_conc,mg/L,81958,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Ag,Silver,stream_flux,kg/ha/d,42206,27,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Al,Aluminum,precip_conc,mg/L,45267,30,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Al,Aluminum,precip_flux,kg/ha/d,45267,30,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Al,Aluminum,stream_conc,mg/L,271091,88,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Al,Aluminum,stream_flux,kg/ha/d,118682,44,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Al_ICP,Aluminum ICP,precip_conc,mg/L,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
Al_ICP,Aluminum ICP,precip_flux,kg/ha/d,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
Al_ICP,Aluminum ICP,stream_conc,mg/L,123787,11,1964-03-17T00:00:00Z,2020-05-27T00:00:00Z
Al_ICP,Aluminum ICP,stream_flux,kg/ha/d,118674,9,1964-03-17T00:00:00Z,2020-05-27T00:00:00Z
alk,Alkalinity,precip_conc,mg/L,202254,18,1969-02-04T00:00:00Z,2019-09-11T00:00:00Z
alk,Alkalinity,precip_flux,kg/ha/d,188106,14,1969-02-04T00:00:00Z,2019-09-11T00:00:00Z
alk,Alkalinity,stream_conc,mg/L,342587,81,1968-10-09T00:00:00Z,2021-05-13T00:00:00Z
alk,Alkalinity,stream_flux,kg/ha/d,260059,54,1968-10-09T00:00:00Z,2020-10-01T00:00:00Z
ANC,Acid Neutralizing Capacity,NA,eq/L,216193,49,1982-02-12T00:00:00Z,2021-05-13T00:00:00Z
ANC960,Acid Neutralizing Capacity 960,NA,ueq/L,89238,11,1990-01-15T00:00:00Z,2017-09-19T00:00:00Z
AnCaR,Anion-Cation Ratio,NA,unitless,402853,10,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z
ANCMet,Acid Neutralizing Capacity Met,NA,ueq/L,21056,11,2015-02-17T00:00:00Z,2020-05-27T00:00:00Z
anionCharge,TOTAL Anion Charge,NA,ueq/L,498907,40,1969-07-02T00:00:00Z,2020-11-06T00:00:00Z
As,Arsenic,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
As,Arsenic,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
As,Arsenic,stream_conc,mg/L,96539,34,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
As,Arsenic,stream_flux,kg/ha/d,47177,27,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Au,Gold,stream_conc,mg/L,8606,4,2007-03-22T00:00:00Z,2019-08-13T00:00:00Z
Au,Gold,stream_flux,kg/ha/d,7754,4,2007-07-17T00:00:00Z,2019-08-13T00:00:00Z
B,Boron,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
B,Boron,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
B,Boron,stream_conc,mg/L,125985,45,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
B,Boron,stream_flux,kg/ha/d,58813,29,1995-04-17T00:00:00Z,2020-12-02T00:00:00Z
Ba,Barium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ba,Barium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ba,Barium,stream_conc,mg/L,145169,44,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ba,Barium,stream_flux,kg/ha/d,67184,33,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Be,Beryllium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Be,Beryllium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Be,Beryllium,stream_conc,mg/L,114078,37,2003-05-14T00:00:00Z,2020-12-02T00:00:00Z
Be,Beryllium,stream_flux,kg/ha/d,46512,27,2006-02-14T00:00:00Z,2020-12-02T00:00:00Z
Bi,Bismuth,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Bi,Bismuth,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Bi,Bismuth,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Bi,Bismuth,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
BPC,Benthic Particulate Carbon,NA,mg/cm2,159972,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPN,Benthic Particulate Nitrogen,NA,mg/cm2,162058,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPP,Benthic Particulate Phosphorus,NA,mg/cm2,146818,33,1994-06-20T00:00:00Z,2018-08-31T00:00:00Z
Br,Bromide,precip_conc,mg/L,54500,30,2008-03-25T00:00:00Z,2019-09-21T00:00:00Z
Br,Bromide,precip_flux,kg/ha/d,58024,37,2008-03-25T00:00:00Z,2021-04-08T00:00:00Z
Br,Bromide,stream_conc,mg/L,229679,98,1993-03-01T00:00:00Z,2020-12-02T00:00:00Z
Br,Bromide,stream_flux,kg/ha/d,80883,51,1998-03-23T00:00:00Z,2020-12-02T00:00:00Z
Ca,Calcium,precip_conc,mg/L,517989,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Ca,Calcium,precip_flux,kg/ha/d,497197,70,1968-10-21T00:00:00Z,2021-04-08T00:00:00Z
Ca,Calcium,stream_conc,mg/L,1369308,250,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
Ca,Calcium,stream_flux,kg/ha/d,808853,139,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
cationCharge,TOTAL Cation Charge,NA,ueq/L,493008,40,1970-01-08T00:00:00Z,2020-11-06T00:00:00Z
Cd,Cadmium,precip_conc,mg/L,10660,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,precip_flux,kg/ha/d,10660,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,stream_conc,mg/L,123454,45,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Cd,Cadmium,stream_flux,kg/ha/d,50698,29,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ce,Cerium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ce,Cerium,stream_conc,mg/L,101755,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,stream_flux,kg/ha/d,37976,18,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
CH4,Methane,NA,ppm,1253,3,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CH4_C,Methane-C,NA,mg/L,24008,13,2015-06-30T00:00:00Z,2020-12-02T00:00:00Z
CHL,Chlorophyll,NA,mg/L,106012,50,1994-03-29T00:00:00Z,2017-08-26T00:00:00Z
Cl,Chloride,precip_conc,mg/L,466932,77,1969-12-17T00:00:00Z,2020-12-31T00:00:00Z
Cl,Chloride,precip_flux,kg/ha/d,461784,70,1969-12-17T00:00:00Z,2021-04-08T00:00:00Z
Cl,Chloride,stream_conc,mg/L,1387599,273,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
Cl,Chloride,stream_flux,kg/ha/d,800371,149,1964-03-17T00:00:00Z,2020-09-30T00:00:00Z
Co,Cobalt,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Co,Cobalt,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Co,Cobalt,stream_conc,mg/L,110641,35,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Co,Cobalt,stream_flux,kg/ha/d,54373,27,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
CO2,Carbon Dioxide,NA,ppm,2448,6,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CO2_C,Carbon Dioxide-C,NA,mg/L,23694,13,2015-06-30T00:00:00Z,2020-10-20T00:00:00Z
CO3,Carbonate,stream_conc,mg/L,34945,27,2014-10-22T00:00:00Z,2020-03-20T00:00:00Z
CO3,Carbonate,stream_flux,kg/ha/d,20127,25,2016-10-05T00:00:00Z,2020-03-20T00:00:00Z
Cr,Chromium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cr,Chromium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cr,Chromium,stream_conc,mg/L,147850,46,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Cr,Chromium,stream_flux,kg/ha/d,54300,28,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,stream_flux,kg/ha/d,25792,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cu,Copper,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cu,Copper,stream_conc,mg/L,170814,48,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,stream_flux,kg/ha/d,68606,30,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
d18O,Delta 18 Oxygen,NA,ppt,119426,40,1998-06-12T00:00:00Z,2020-02-19T00:00:00Z
deuterium,Deuterium,NA,unitless,23617,15,2014-06-27T00:00:00Z,2020-02-19T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_conc,mg/L,240961,86,1983-07-05T00:00:00Z,2020-12-02T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_flux,kg/ha/d,144613,64,1987-01-03T00:00:00Z,2020-12-02T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_conc,mg/L,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_flux,kg/ha/d,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
discharge,Discharge,NA,L/s,1795097,218,1949-10-01T00:00:00Z,2021-07-10T00:00:00Z
DO,Dissolved Oxygen,NA,mg/L,87238,28,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z
DO_sat,Dissolved Oxygen Percent Saturation,NA,%,30025,15,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z
DOC,Dissolved Organic Carbon,precip_conc,mg/L,239796,30,1983-11-28T00:00:00Z,2020-05-19T00:00:00Z
DOC,Dissolved Organic Carbon,precip_flux,kg/ha/d,239796,30,1983-11-28T00:00:00Z,2020-05-19T00:00:00Z
DOC,Dissolved Organic Carbon,stream_conc,mg/L,996511,226,1978-05-20T00:00:00Z,2021-04-22T00:00:00Z
DOC,Dissolved Organic Carbon,stream_flux,kg/ha/d,445565,126,1978-05-21T00:00:00Z,2021-01-11T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_conc,mg/L,276041,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_flux,kg/ha/d,259025,19,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_conc,mg/L,337846,65,1968-10-09T00:00:00Z,2020-05-27T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_flux,kg/ha/d,238300,38,1968-10-09T00:00:00Z,2020-05-27T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_conc,mg/L,228,4,2011-06-21T00:00:00Z,2011-08-16T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_flux,kg/ha/d,228,4,2011-06-21T00:00:00Z,2011-08-16T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_conc,mg/L,119320,30,1993-09-21T00:00:00Z,2020-11-06T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_flux,kg/ha/d,46257,9,1997-01-31T00:00:00Z,2020-09-30T00:00:00Z
Dy,Dysprosium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Dy,Dysprosium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Dy,Dysprosium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Dy,Dysprosium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
E_pheophy,Epilithic Phaeophytin,NA,mg/cm2,79007,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
ECHL_A,Epilithic Chlorophyll a,NA,mg/cm2,80339,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
Ecoli,Escherichia coli,NA,#/mL,41204,13,2001-10-03T00:00:00Z,2016-06-16T00:00:00Z
Er,Erbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Er,Erbium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Er,Erbium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Er,Erbium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Eu,Europium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Eu,Europium,stream_conc,mg/L,122868,37,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,stream_flux,kg/ha/d,43613,27,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
F,Fluorine,precip_conc,mg/L,65728,35,1998-04-26T00:00:00Z,2020-05-19T00:00:00Z
F,Fluorine,precip_flux,kg/ha/d,65728,35,1998-04-26T00:00:00Z,2020-05-19T00:00:00Z
F,Fluorine,stream_conc,mg/L,424507,133,1993-01-18T00:00:00Z,2020-05-27T00:00:00Z
F,Fluorine,stream_flux,kg/ha/d,108703,61,1995-04-12T00:00:00Z,2020-05-27T00:00:00Z
Fe,Iron,precip_conc,mg/L,64887,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Fe,Iron,precip_flux,kg/ha/d,64887,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Fe,Iron,stream_conc,mg/L,290281,117,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Fe,Iron,stream_flux,kg/ha/d,142967,75,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd157,Gadolinium-157,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Gd157,Gadolinium-157,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Gd157,Gadolinium-157,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Gd157,Gadolinium-157,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
Ge,Germanium,stream_conc,mg/L,44763,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ge,Germanium,stream_flux,kg/ha/d,24777,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
H,Hydrogen,precip_conc,mg/L,2092,4,2012-05-25T00:00:00Z,2013-10-29T00:00:00Z
H,Hydrogen,precip_flux,kg/ha/d,2092,4,2012-05-25T00:00:00Z,2013-10-29T00:00:00Z
H,Hydrogen,stream_conc,mg/L,139394,25,1982-02-12T00:00:00Z,2020-11-06T00:00:00Z
H,Hydrogen,stream_flux,kg/ha/d,65838,10,1982-05-28T00:00:00Z,2020-09-30T00:00:00Z
HCO3,Bicarbonate,stream_conc,mg/L,69560,35,1976-11-04T00:00:00Z,2020-03-20T00:00:00Z
HCO3,Bicarbonate,stream_flux,kg/ha/d,54486,33,1976-11-04T00:00:00Z,2020-03-20T00:00:00Z
Hf,Hafnium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hf,Hafnium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,stream_conc,mg/L,23703,10,2007-03-14T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,stream_flux,kg/ha/d,19735,9,2007-03-14T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ho,Holmium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ho,Holmium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
ionBalance,Ion Balance,NA,ueq/L,475207,23,1970-01-08T00:00:00Z,2020-11-06T00:00:00Z
ionError,Ion Error,NA,%,373741,11,1970-01-08T00:00:00Z,2020-05-27T00:00:00Z
Ir,Iridium,stream_conc,mg/L,2,2,2007-10-03T00:00:00Z,2011-05-09T00:00:00Z
